CLIENTE;NRO. VA21;POS. VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;FECHA CUMPLIMIENTO FINAL UNIFICADA;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;TIEMPO DE APROBACION SOLPED;COLOCACION OC;TIEMPOS DE APROBACION OC;ENTREGA VA01/OC;PRIMERA RECEPCIÓN - ENTREGA;PRIMERA RECEPCIÓN - TIEMPOS RECEPCIÓN;TIEMPO PICKING;EMBALAJE;CAMION;TIEMPOS RECEPCION CLIENTE;ENTREGA AL CLIENTE;DIAS DE DEMORA;TIEMPO EMISION / ENTREGA;NRO. VA01;POS. VA01;FECHA EMISION VA01;RESPONDIDO;NO RESPONDIDO;RESPONDIDO AT;RESPONDIDO FT;dDIAS DEMORA;dDIAS LIBERACION SOLPED;dDIAS RESPUESTA;dDIAS PROCESAMIENTO ;iLIBERACION SOLPED;iRESPUESTA;iPROCESAMIENTO;CLASIFICACION
00375 YPF OLEODUCTO PR-LP;4000006431;10;ZPIN;BAJA DE OC 450010757;;0;10;4;24/4/2026;GPUJOL;1029185;BAJA OC;1;Material No Valorado;CUMPLIDO;MR01;1;16/1/2026;30/1/2026;enero;10140609;10;1;16/1/2026;16/1/2026;C14;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;84;0;98;;;98;;COMPRAS ABASTECIMIENTO
00375 YPF OLEODUCTO PR-LP;4000006432;10;ZPIN;BAJA DE OC 450010838;;0;10;4;23/1/2026;GPUJOL;1029185;BAJA OC;1;Material No Valorado;CUMPLIDO;MR01;1;16/1/2026;30/1/2026;enero;10140611;10;1;16/1/2026;16/1/2026;C14;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;7;;;7;;COMPRAS ABASTECIMIENTO
00375 YPF OLEODUCTO PR-LP;4000006433;10;ZPIN;BAJA DE OC 450010832;;0;10;4;23/1/2026;GPUJOL;1029185;BAJA OC;1;Material No Valorado;CUMPLIDO;MR01;1;16/1/2026;30/1/2026;enero;10140612;10;1;16/1/2026;16/1/2026;C14;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;7;;;7;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006443;10;ZPIN;PI BOTINES DE SEGURI;;0;10;4;27/1/2026;ASABATINO;1012655;BOTIN DE SEG. FUNCIONAL ULTRALIVIANOS;20;Materiales genericos;CUMPLIDO;MR01;1;19/1/2026;26/1/2026;enero;10140757;10;1;19/1/2026;19/1/2026;C28;;0;;0;;;;;;;;0;20;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;1;0;8;;;8;;COMPRAS ABASTECIMIENTO
00375 YPF OLEODUCTO PR-LP;4000006447;10;ZPIN;EQM NUEVO-RESPONDIDO;;2;10;1;17/2/2026;JPIEDRABUENA;1018042;MAQ CORTE FRIO CAÑOS SFM-2432 HID;1;Equipos Menores;CUMPLIDO;MR01;1;20/1/2026;30/1/2026;enero;10140832;10;1;20/1/2026;20/1/2026;C37;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;18;0;28;;;28;;EQUIPOS MENORES
00375 YPF OLEODUCTO PR-LP;4000006455;10;ZPIN;BAJA DE OC 450011271;;0;10;4;21/1/2026;GPUJOL;1029185;BAJA OC;1;Material No Valorado;CUMPLIDO;MR01;1;20/1/2026;30/1/2026;enero;10140910;10;1;20/1/2026;20/1/2026;C25;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;1;;;1;;COMPRAS ABASTECIMIENTO
00375 YPF OLEODUCTO PR-LP;4000006463;10;ZPIN;BAJA DE OC 450011281;;0;10;4;22/1/2026;GPUJOL;1029185;BAJA OC;1;Material No Valorado;CUMPLIDO;MR01;1;21/1/2026;30/1/2026;enero;10141034;10;1;21/1/2026;21/1/2026;C25;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;1;;;1;;COMPRAS ABASTECIMIENTO
00223 Comp Amb Santa Fe;4000006470;10;ZPIN;Servicio vigilancia;;2;10;4;20/2/2026;PBASILIO;1013146;SERVICIO DE VIGILANCIA DIURNA XHS;17520;Servicios;CUMPLIDO;MR01;1;22/1/2026;16/2/2026;febrero;10141088;10;1;22/1/2026;22/1/2026;C25;;0;;0;;;;;;;;0;17520;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;4;0;29;;;29;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006473;10;ZPIN;SGFV;;0;10;3;26/1/2026;RTELLO;1012829;PROV EQ P GFV SEGUN ET;4;Materiales genericos;CUMPLIDO;MR01;1;22/1/2026;30/1/2026;enero;10141170;10;1;22/1/2026;22/1/2026;C20;;0;;0;;;;;;;;0;4;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;4;;;4;;COMPRAS ABASTECIMIENTO
00223 Comp Amb Santa Fe;4000006491;10;ZPIN;Servicio SSYMA;;0;10;4;14/3/2026;PBASILIO;1025973;SS HIG. SEG. Y MEDIO AMB. XMES;12;Servicios;CUMPLIDO;MR01;1;28/1/2026;13/2/2026;febrero;10141576;10;1;28/1/2026;28/1/2026;C25;;0;;0;;;;;;;;0;12;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;29;0;45;;;45;;COMPRAS ABASTECIMIENTO
00223 Comp Amb Santa Fe;4000006492;10;ZPIN;Serv. viandas;;0;10;4;2/3/2026;PBASILIO;1013116;VIANDA ALMUERZO PUESTA EN OBRA XUN;5200;Servicios;CUMPLIDO;MR01;1;28/1/2026;13/2/2026;febrero;10141589;10;1;28/1/2026;28/1/2026;C25;;0;;0;;;;;;;;0;5200;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;17;0;33;;;33;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006500;10;ZPIN;PI MAT CIVILES;;0;10;4;26/2/2026;RTELLO;1011249;HORMIGON ELABORADO H35;200;Materiales usuales;CUMPLIDO;MR01;1;29/1/2026;13/2/2026;febrero;10141749;10;1;29/1/2026;29/1/2026;C18;;0;;0;;;;;;;;0;200;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;13;0;28;;;28;;COMPRAS ABASTECIMIENTO
