CLIENTE;NRO. SOLPED;POS. SOLPED;REPARTOS;TIPO SOLPED;OPERADOR SOLPED;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;TIEMPO DE APROBACION SOLPED;COLOCACION OC;TIEMPOS DE APROBACION OC;ENTREGA VA01/OC;PRIMERA RECEPCIÓN - ENTREGA;PRIMERA RECEPCIÓN - TIEMPOS RECEPCIÓN;TIEMPO PICKING;EMBALAJE;CAMION;TIEMPOS RECEPCION CLIENTE;ENTREGA AL CLIENTE;TIEMPO EMISION / ENTREGA;FECHA CUMPLIMIENTO FINAL UNIFICADA;COMPROMETIDOS;ENTREGADOS;NO ENTREGADOS;ENTREGADOS AT;ENTREGADOS FT;DIAS DE DEMORA;CLASIFICACION
00008 ABASTECIMIENTO;10118929;10;1;ZSNB;MLARRETA;1001971;ESMALTE SINT. AEROSOL ROJO X 440CC;70;Materiales Stock;CUMPLIDO;MM01;1;8/4/2025;8/5/2025;mayo;8/4/2025;8/4/2025;C22;4500096793;10;2200;1;GJULIANI;9/4/2025;9/4/2025;23/4/2025;23/4/2025;C22;ARROYITO MAQUINARIAS S.R.L.;70;0;0;70;5000129738;15/4/2025;2200;1;1;15/4/2025;LNASUTI;;;0;0;;;;;;;;;0;;;;;0;;0;1;0;-14;-8;0;0;0;0;0;0;30;15/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10118929;20;1;ZSNB;MLARRETA;1001972;ESMALTE SINT. AEROSOL VERDE X440CC;15;Materiales Stock;CUMPLIDO;MM01;1;8/4/2025;8/5/2025;mayo;8/4/2025;8/4/2025;C22;4500096793;20;2200;1;GJULIANI;9/4/2025;9/4/2025;23/4/2025;23/4/2025;C22;ARROYITO MAQUINARIAS S.R.L.;15;0;0;15;5000129613;14/4/2025;2200;1;1;14/4/2025;LNASUTI;;;0;0;;;;;;;;;0;;;;;0;;0;1;0;-14;-9;0;0;0;0;0;0;30;14/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10118929;30;1;ZSNB;MLARRETA;1001973;ESMALTE SINT. AEROSOL AZUL X440CC;40;Materiales Stock;CUMPLIDO;MM01;1;8/4/2025;8/5/2025;mayo;8/4/2025;8/4/2025;C22;4500096793;30;2200;1;GJULIANI;9/4/2025;9/4/2025;23/4/2025;23/4/2025;C22;ARROYITO MAQUINARIAS S.R.L.;40;0;0;40;5000129869;16/4/2025;MM08;1;2;16/4/2025;LNASUTI;;;0;0;;;;;;;;;0;;;;;0;;0;1;0;-14;-7;0;0;0;0;0;0;30;16/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10118992;10;1;NB;EJUAREZ;1002033;CAMISA TRABAJO T.44 BEIGE C LOGO;20;Materiales Stock;CUMPLIDO;MR01;1;9/4/2025;9/5/2025;mayo;9/4/2025;9/4/2025;C28;4500097040;20;2200;1;GJULIANI;14/4/2025;14/4/2025;2/5/2025;2/5/2025;C28;NUEVA REGINA S.R.L.;20;0;0;20;5000130035;17/4/2025;2200;2;1;17/4/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;5;0;-6;-15;0;0;0;0;0;0;30;17/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10119001;10;1;NB;EJUAREZ;1003032;FILTRO TRAMPA DE AGUA;3;Materiales Stock;CUMPLIDO;MR01;1;9/4/2025;5/5/2025;mayo;9/4/2025;9/4/2025;F13;4500097195;10;2200;1;RPEREZ;15/4/2025;15/4/2025;5/5/2025;5/5/2025;F13;FINNING ARGENTINA S.A.;3;0;0;3;5000130365;23/4/2025;2200;1;1;21/4/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;6;0;1;-14;2;0;0;0;0;0;26;21/4/2025;1;1;;1;;;COMPRAS EQUIPOS
00008 ABASTECIMIENTO;10119083;10;1;NB;EJUAREZ;1000043;BOTIQUIN 1ROS. AUXILIOS N 2;48;Materiales Stock;CUMPLIDO;MR01;1;10/4/2025;2/5/2025;mayo;10/4/2025;10/4/2025;C28;4500096858;40;2200;1;GJULIANI;10/4/2025;10/4/2025;30/4/2025;30/4/2025;C28;FERRETERA SAN LUIS;48;0;0;48;5000130155;21/4/2025;2200;1;1;21/4/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;0;0;-1;-9;0;0;0;0;0;0;22;21/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10119084;10;1;NB;EJUAREZ;1001696;POLAINA DESCARNE;31;Materiales Stock;CUMPLIDO;MR01;1;10/4/2025;2/5/2025;mayo;10/4/2025;10/4/2025;C28;4500096858;30;2200;1;GJULIANI;10/4/2025;10/4/2025;30/4/2025;30/4/2025;C28;FERRETERA SAN LUIS;31;0;0;31;5000130166;21/4/2025;2200;1;1;21/4/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;0;0;-1;-9;0;0;0;0;0;0;22;21/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10119085;10;1;NB;EJUAREZ;1001697;GUANTE VAQUETA MEDIO PASEO T.10;1255;Materiales Stock;CUMPLIDO;MR01;1;10/4/2025;2/5/2025;mayo;10/4/2025;10/4/2025;C28;4500096858;20;2200;1;GJULIANI;10/4/2025;10/4/2025;30/4/2025;30/4/2025;C28;FERRETERA SAN LUIS;1255;0;0;1255;5000130158;21/4/2025;2200;1;1;21/4/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;0;0;-1;-9;0;0;0;0;0;0;22;21/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10119086;10;1;NB;EJUAREZ;1001702;GUANTE SOLDADOR COSTURA KEVLAR;52;Materiales Stock;CUMPLIDO;MR01;1;10/4/2025;2/5/2025;mayo;10/4/2025;10/4/2025;C28;4500096858;10;2200;1;GJULIANI;10/4/2025;10/4/2025;30/4/2025;30/4/2025;C28;FERRETERA SAN LUIS;52;0;0;52;5000130164;21/4/2025;2200;1;1;21/4/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;0;0;-1;-9;0;0;0;0;0;0;22;21/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10119089;10;1;NB;EJUAREZ;1001707;CHALECOGRAFANARANJACONREFLETIVOT.XLC2;195;Materiales Stock;CUMPLIDO;MR01;1;10/4/2025;12/5/2025;mayo;10/4/2025;10/4/2025;C28;4500097125;10;2200;1;GJULIANI;14/4/2025;15/4/2025;9/5/2025;9/5/2025;C28;CORCEL SAFETY S.A.;195;0;0;195;5000132019;9/5/2025;2200;1;1;9/5/2025;FDEICAS;;;0;0;;;;;;;;;0;;;;;0;;0;4;1;-2;0;0;0;0;0;0;0;32;9/5/2025;1;1;;1;;;COMPRAS SEDE
